CountryName,FlagName,TrueName,Continent,Capital,AcceptedNames,
algeria,algeria,Algeria,africa,,algeria#Algeria,
angola,angola,Angola,africa,,angola,
benin,benin,Benin,africa,,benin,
botswana,botswana,Botswana,africa,gaborone,botswana,
burkina faso,burkina-faso,Burkina Faso,africa,,burkina faso, 
burundi,burundi,Burundi,africa,,burundi,
cameroon,cameroon,Cameroon,africa,,cameroon,
cape verde,cape-verde,Cape Verde,africa,,cape verde#cabo verde#republic of cabo verde,
central african republic,central-african-republic,Central African Republic,africa,,central african republic,
chad,chad,Chad,africa,,chad,
comoros,comoros,Comoros,africa,,comoros,
democratic republic of the congo,democratic-republic-of-the-congo,Democratic Republic of the Congo,africa,,democratic republic of the congo#drc#democratic republic of congo#congo-kinshasa,
cote d'ivoire,cote-d'ivoire,Côte d'Ivoire,africa,,cote d'ivoire#ivory coast,
djibouti,djibouti,Djibouti,africa,,djibouti,
egypt,egypt,Egypt,africa,,egypt,
equatorial guinea,equatorial-guinea,Equatorial Guinea,africa,,equatorial guinea,
eritrea,eritrea,Eritrea,africa,,eritrea,
ethiopia,ethiopia,Ethiopia,africa,,ethiopia,
gabon,gabon,Gabon,africa,,gabon,
gambia,gambia,The Gambia,africa,,gambia#the gambia,
ghana,ghana,Ghana,africa,,ghana,
guinea,guinea,Guinea,africa,,guinea,
guinea-bissau,guinea-bissau,Guinea-Bissau,africa,,guinea-bissau#guinea bissau,
kenya,kenya,Kenya,africa,,kenya,
eswatini,eswatini,Eswatini,africa,,eswatini#kingdom of eswatini#swaziland#kingdom of swaziland,
lesotho,lesotho,,africa,,lesotho,
liberia,liberia,,africa,,liberia,
libya,libya,,africa,,libya,
madagascar,madagascar,,africa,,madagascar,
malawi,malawi,,africa,,malawi,
mali,mali,,africa,,mali,
mauritania,mauritania,,africa,,mauritania,
mauritius,mauritius,,africa,,mauritius,
mayotte,mayotte,Mayotte,africa,,mayotte,
morocco,morocco,,africa,,morocco,
mozambique,mozambique,,africa,,mozambique,
namibia,namibia,,africa,,namibia,
niger,niger,,africa,,niger,
nigeria,nigeria,,africa,,nigeria,
republic of the congo,republic-of-the-congo,Republic of the Congo,africa,,republic of congo#republic of the congo#congo-brazzaville,
rwanda,rwanda,,africa,,rwanda,
reunion,reunion,Réunion,africa,,reunion,
saint helena,saint-helena,"Saint Helena, Ascension and Tristan da Cunha",africa,,saint helena#saint-helena,
sao tome and principe,sao-tome-and-principe,São Tomé and Príncipe,africa,,sao tome and principe,
senegal,senegal,,africa,,senegal,
seychelles,seychelles,,africa,,seychelles,
sierra leone,sierra-leone,,africa,,sierra leone,
somalia,somalia,,africa,,somalia,
south africa,south-africa,Republic of South Africa,africa,,south africa#rsa#republic of south africa,
south sudan,south-sudan,,africa,,south sudan,
sudan,sudan,,africa,,sudan,
tanzania,tanzania,United Republic of Tanzania,africa,,tanzania,
togo,togo,,africa,,togo,
tunisia,tunisia,,africa,,tunisia,
uganda,uganda,,africa,,uganda,
western sahara,western-sahara,,africa,,western sahara,
zambia,zambia,,africa,,zambia,
zimbabwe,zimbabwe,,africa,,zimbabwe,
